사고월,사고일,합계,과로,과속,앞지르기 방법위반,앞지르기 금지위반,중앙선 침범,신호위반,안전거리 미확보,서행 및 일시정지위반,부당한 회전,통행우선 순위위반,진로양보 의무 불이행,안전운전 의무 불이행,교차로 통행방법 위반,보행자 보호의무 위반,차로위반(진로변경 위반),직진 및 우회전차의 통행방해,철길건널목 통과방법위반,긴급자동차에대한 피양의무 위반,기타(운전자법규위반),정비불량 제차의 운전금지위반
09월,26일,701,-,2,-,-,38,87,56,2,5,-,-,385,43,34,13,20,-,-,16,-
09월,27일,706,-,-,-,1,35,81,83,1,3,-,-,405,41,20,9,18,-,-,9,-
09월,28일,753,-,3,-,-,30,89,58,1,9,-,-,434,49,24,11,18,-,-,27,-
09월,29일,849,-,3,-,1,46,96,74,1,8,-,-,477,54,28,17,21,-,-,22,1
09월,30일,660,-,4,-,1,27,74,51,3,3,-,-,383,44,20,11,22,-,-,17,-
10월,합계,"18,863",-,68,11,27,902,"2,130","1,710",41,131,2,3,"10,739","1,179",617,371,532,-,-,400,-
10월,01일,581,-,2,-,1,42,79,52,-,1,-,-,323,34,17,10,12,-,-,8,-
10월,02일,682,-,5,-,-,35,77,46,4,6,-,-,402,45,26,14,10,-,-,12,-
10월,03일,417,-,2,1,1,22,45,34,1,3,-,-,248,25,4,8,12,-,-,11,-
10월,04일,379,-,2,1,-,20,43,37,1,1,-,-,221,27,3,7,14,-,-,2,-
10월,05일,390,-,1,-,-,21,40,23,1,1,-,-,247,21,12,6,12,-,-,5,-
10월,06일,432,-,1,-,-,21,52,37,1,1,-,-,266,24,2,7,15,-,-,5,-
10월,07일,507,-,1,2,2,26,51,50,4,6,1,-,283,36,9,16,12,-,-,8,-
10월,08일,420,-,1,-,1,23,57,36,-,5,-,-,228,26,7,10,14,-,-,12,-
10월,09일,445,-,1,-,1,24,57,33,2,1,-,-,240,30,13,13,16,-,-,14,-
10월,10일,589,-,2,-,1,27,73,42,1,3,-,-,339,40,23,15,14,-,-,9,-
10월,11일,597,-,2,-,1,27,65,48,-,3,-,-,350,45,19,12,14,-,-,11,-
10월,12일,619,-,2,-,2,34,70,52,2,1,-,-,348,47,19,11,16,-,-,15,-
10월,13일,699,-,1,-,1,30,84,68,-,5,-,-,388,42,25,12,17,-,-,26,-
10월,14일,644,-,2,-,3,28,85,56,1,3,-,-,373,41,14,13,9,-,-,16,-
10월,15일,487,-,3,-,-,19,65,44,1,2,-,-,288,23,15,6,9,-,-,12,-
10월,16일,587,-,3,-,3,19,62,56,-,3,-,-,343,29,22,7,26,-,-,14,-
10월,17일,654,-,4,-,2,24,69,56,2,5,-,-,355,51,34,22,14,-,-,16,-
10월,18일,613,-,3,-,-,30,63,60,1,6,-,-,334,37,30,9,28,-,-,12,-
10월,19일,657,-,3,-,1,35,60,62,-,7,-,-,398,35,19,12,14,-,-,11,-
10월,20일,784,-,3,1,1,30,76,80,-,5,-,-,458,50,24,7,31,-,-,18,-
10월,21일,751,-,3,-,2,33,78,87,-,10,-,1,427,31,25,11,19,-,-,24,-
10월,22일,577,-,2,1,-,38,65,48,1,1,-,-,334,40,10,9,21,-,-,7,-
10월,23일,701,-,3,-,2,27,71,66,2,5,-,-,388,44,37,19,24,-,-,13,-
10월,24일,698,-,2,-,-,30,82,67,2,5,-,-,395,39,25,17,19,-,-,15,-
10월,25일,731,-,3,1,-,23,86,78,1,6,-,-,421,43,21,6,17,-,-,25,-
10월,26일,638,-,1,1,-,33,57,57,6,5,-,-,373,40,27,9,19,-,-,10,-
10월,27일,781,-,2,1,1,38,87,81,3,5,1,-,430,41,23,19,24,-,-,25,-
10월,28일,771,-,2,-,-,38,78,87,-,7,-,1,444,44,21,20,16,-,-,13,-
10월,29일,544,-,3,1,-,30,75,44,1,3,-,1,300,29,15,14,18,-,-,10,-
10월,30일,741,-,-,-,1,41,102,64,2,8,-,-,393,56,37,15,17,-,-,5,-
10월,31일,747,-,3,1,-,34,76,59,1,8,-,-,402,64,39,15,29,-,-,16,-
